target,provider,lead,tmax,tmin,precip,wind
2026-09-17,ecmwf,2,20.4,11.7,0,18.4
2026-09-17,ecmwf,3,20.4,11.8,0,17.3
2026-09-17,ecmwf,4,19.7,12.7,0.9,17
2026-09-17,ecmwf,5,19,11.6,0,14
2026-09-17,ecmwf,6,18.6,11.5,0.6,19.2
2026-09-17,ecmwf,7,18.8,11.8,0.3,21.8
2026-09-17,gem,1,19.9,10.9,0.1,17.6
2026-09-17,gem,2,19.1,12,0.7,15.5
2026-09-17,gem,3,18.7,12.1,0.5,18
2026-09-17,gem,4,18.7,11.1,0.4,17.6
2026-09-17,gem,5,18.7,10.8,0,15.8
2026-09-17,gem,6,18,9.6,0.5,24.1
2026-09-17,gem,7,17.9,11.1,0.4,19.8
2026-09-17,gfs,1,20.6,10.6,0,22.7
2026-09-17,gfs,2,20.1,10.6,0,18.7
2026-09-17,gfs,3,18.7,10.7,0.1,20.2
2026-09-17,gfs,4,18.6,10.4,0,23.2
2026-09-17,gfs,5,19.7,10.3,0,20.3
2026-09-17,gfs,6,20.2,11,0,23
2026-09-17,gfs,7,19.2,12.2,3.3,19.4
2026-09-17,icon,1,20.6,11.3,0,16.3
2026-09-17,icon,2,20,12.1,0,14.2
2026-09-17,icon,3,19.7,11.9,0,13.3
2026-09-17,icon,4,19.1,11.9,0,13.6
2026-09-17,icon,5,19.2,12.4,0,13.2
2026-09-17,icon,6,18,11.1,0,16.8
2026-09-17,ukmo,1,20.3,12.9,0.1,17.3
2026-09-17,ukmo,2,20.4,12.3,0,16.6
2026-09-17,ukmo,3,20.1,12.1,0,17.6
2026-09-17,ukmo,4,19.5,11.9,0,17.3
2026-09-17,ukmo,5,19.5,12,0,19.8
2026-09-17,ukmo,6,18.6,12.6,0,20.9
2026-09-18,arpege,1,19.7,13.3,0.4,22.8
2026-09-18,arpege,2,20.1,14,0,24.5
2026-09-18,arpege,3,21.5,13.8,0.6,20.9
2026-09-18,ecmwf,1,20,13.1,1.2,18.7
2026-09-18,ecmwf,2,20.2,13.5,0,19.1
2026-09-18,ecmwf,3,20.2,13.3,0.6,17.7
2026-09-18,ecmwf,4,20.7,13.5,0,17
2026-09-18,ecmwf,5,20.5,12.6,1.2,22.9
2026-09-18,ecmwf,6,18.7,13.9,0.3,20.6
2026-09-18,ecmwf,7,19,13.4,0,22.2
2026-09-18,gem,1,19.3,10.1,0,22.7
2026-09-18,gem,2,20.3,12.3,0,20.9
2026-09-18,gem,3,19.6,12.1,0,21.6
2026-09-18,gem,4,20.7,11.9,0,19.4
2026-09-18,gem,5,17.4,12.8,0.9,25.2
2026-09-18,gem,6,18.7,10.8,0.8,25.6
2026-09-18,gem,7,18.6,12.2,0.2,22.7
2026-09-18,gfs,1,20.4,13,0,25.1
2026-09-18,gfs,2,20.2,12.8,0,23.2
2026-09-18,gfs,3,20.2,12.4,0.5,21.7
2026-09-18,gfs,4,18.5,13,0.8,18.4
2026-09-18,gfs,5,19.4,11.7,4,31.1
2026-09-18,gfs,6,19.5,12.6,0.1,28.1
2026-09-18,gfs,7,19.5,11.6,0,28.9
2026-09-18,icon,1,20.1,13.7,0.3,17.7
2026-09-18,icon,2,19.2,13.4,0.8,16.6
