target,provider,lead,tmax,tmin,precip,wind
2026-07-09,icon,5,26.4,13,0,9.7
2026-07-09,icon,6,19.5,14.7,0,16.6
2026-07-10,ecmwf,1,25.5,12.9,0,10.9
2026-07-10,ecmwf,2,25.4,12.3,0,12.9
2026-07-10,ecmwf,3,24.4,12.9,0,12.8
2026-07-10,ecmwf,4,25.4,13,0,12
2026-07-10,ecmwf,5,25.6,13.4,0,9.2
2026-07-10,ecmwf,6,28.3,15.4,0,10.6
2026-07-10,ecmwf,7,26.9,13.1,0.6,7.2
2026-07-10,icon,1,26.5,13.9,0,10.9
2026-07-10,icon,2,26.6,13.7,0,10.6
2026-07-10,icon,3,25.8,14,0,10.3
2026-07-10,icon,4,26.5,15,0,9.4
2026-07-10,icon,5,27,13.7,0,14.3
2026-07-10,icon,6,28.8,16,0,13.1
2026-07-11,ecmwf,1,27.7,14.4,0,12.9
2026-07-11,ecmwf,2,27.7,14.4,0,12.3
2026-07-11,ecmwf,3,27.8,14.7,0,15.5
2026-07-11,ecmwf,4,27.2,14.3,0,12.5
2026-07-11,ecmwf,5,27.8,14,0,9.5
2026-07-11,ecmwf,6,26.9,16.3,0,13.8
2026-07-11,ecmwf,7,31.2,16.7,0,10.8
2026-07-11,icon,1,29.1,14.3,0,15.5
2026-07-11,icon,2,28.4,15.8,0,10.5
2026-07-11,icon,3,28.1,15.3,0,9
2026-07-11,icon,4,27.7,14.8,0,11.4
2026-07-11,icon,5,28.6,15,0,11.4
2026-07-11,icon,6,28.1,15.8,0,17.5
2026-07-12,ecmwf,1,27.7,15.5,0,16.1
2026-07-12,ecmwf,2,27.6,14.6,0,16.2
2026-07-12,ecmwf,3,28.3,14.8,0,14.3
2026-07-12,ecmwf,4,28.8,15.9,0,11.4
2026-07-12,ecmwf,5,26,15.5,0.3,14.8
2026-07-12,ecmwf,6,25.3,16.2,0,13.9
2026-07-12,ecmwf,7,26.2,17.5,0,13.3
2026-07-12,icon,1,29.5,15.7,0,17.6
2026-07-12,icon,2,29,16.4,0,14.7
